+------------------------------------------------------------------------------------------------------------------------------------------+
|                          KEY|                                                                                            INGREDIENTS|MAKE|
|            KAMIKAZEWITHLEMON|                                                     VODKA 1.7oz ORANGE LIQUEUR 1.7oz LEMONJUICE 1.7oz |    |
|              AMARETTOSOURMIX|                                                              AMARETTOLIQUEUR 3.8oz SWEETANDSOUR 1.2oz |    |
|                    BRAVEBULL|                                                                     TEQUILA 3.8oz COFFEELIQUEUR 1.2oz |    |
|          CAPECODDERWITHLEMON|                                                    VODKA 2.5oz CRANBERRYJUICE 5.1oz LEMONJUICE 0.42oz |    |
|                  TEQUILASHOT|                                                                                           TEQUILA 3oz |    |
|             CARIBBEANSUNRISE|                                                      LIGHTRUM 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|       DARKANDSTORMYWITHLEMON|                                                      DARKRUM 1.8oz GINGERBEER 5.3oz LEMONJUICE 0.89oz |    |
|                 KAMIKAZESHOT|                                                     VODKA 2.2oz ORANGELIQUEUR 0.55oz LIMEJUICE 0.27oz |    |
|        CUBANSCREWWITHDARKRUM|                                                                       DARKRUM 2.7oz ORANGEJUICE 5.3oz |    |
|        DARKANDSTORMYWITHLIME|                                                       DARKRUM 1.8oz GINGERBEER 5.3oz LIMEJUICE 0.89oz |    |
|                   CUBANSCREW|                                                                      LIGHTRUM 2.7oz ORANGEJUICE 5.3oz |    |
|                APEROLSUNRISE|                                                   TEQUILA 2.4oz ORANGEJUICE 4.8oz ORANGELIQUEUR 0.8oz |    |
|             LONGBEACHICEDTEA|         VODKA 1.5oz LIGHTRUM 1.5oz GIN 1.5oz ORANGE LIQUEUR 1.5oz TEQUILA 1.5oz CRANBERRYJUICE 0.38oz |    |
|        COSMOPOLITANWITHLEMON|                                 VODKA 2oz ORANGELIQUEUR 0.75oz LEMONJUICE 0.75oz CRANBERRYJUICE 1.5oz |    |
|              GIMLETWITHLEMON|                                                                                GIN 4oz LEMONJUICE 1oz |    |
|                        MANDM|                                                           AMARETTOLIQUEUER 1.5oz COFFEELIQUEUER 1.5oz |    |
|  CARIBBEANSUNRISEWITHDARKRUM|                                                       DARKRUM 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                   MOSCOWMULE|                                                         VODKA 1.7oz GINGERBEER 2.5oz LIMEJUICE 0.83oz |    |
|                  VODKAGIMLET|                                                                               VODKA 4oz LIMEJUICE 1oz |    |
|        CUBALIBREWITHLIGHTRUM|                                                            LIGHTRUM 2.5oz COKE 4.9oz LIMEJUICE 0.62oz |    |
|              AMARETTOSUNRISE|                                               AMARETTOLIQUEUR 2.4oz ORANGEJUICE 4.8oz GRENADINE 0.8oz |    |
|                 LIGHTRUMSHOT|                                                                                          LIGHTRUM 3oz |    |
|                 VODKAMARTINI|                                                                            VODKA 3.9oz VERMOUTH 1.1oz |    |
|                  PALEBLUEDOT|                                                                    IRISHCREAM 3.8oz BLUECURACAO 1.2oz |  x |
|                   SOLARFLARE|                                                           VODKA 2.2oz TANG 4.4oz CRANBERRYJUICE 1.5oz |  x |
|         WHISKEYSOURWITHLEMON|                                                                            WHISKEY 3oz LEMONJUICE 2oz |    |
|         AMARETTOSOURWITHLIME|                                                                 AMARETTOLIQUEUR 3.3oz LIMEJUICE 1.7oz |    |
|               WHISKEYANDCOKE|                                                                                  WHISKEY 2oz COKE 6oz |    |
|          GINGINMULEWITHLEMON|                                                          GIN 1.7oz GINGERBEER 2.5oz LEMONJUICE 0.83oz |    |
|         VODKAGIMLETWITHLEMON|                                                                              VODKA 4oz LEMONJUICE 1oz |    |
|                    GODFATHER|                                                                   AMARETTOLIQUEUR 2.5oz WHISKEY 2.5oz |    |
|                     KAMIKAZE|                                                      VODKA 1.7oz ORANGE LIQUEUR 1.7oz LIMEJUICE 1.7oz |    |
|        LEFTHANDEDSCREWDRIVER|                                                                           GIN 2.7oz ORANGEJUICE 5.3oz |    |
|       RUMANDCOKEWITHLIGHTRUM|                                                                             LIGHTRUM 2.7oz COKE 5.3oz |    |
+------------------------------------------------------------------------------------------------------------------------------------------+
